date_key,date,year,month,day,is_month_start
20250901,2025-09-01,2025,9,1,True
20250902,2025-09-02,2025,9,2,False
20250903,2025-09-03,2025,9,3,False
20250904,2025-09-04,2025,9,4,False
20250905,2025-09-05,2025,9,5,False
20250906,2025-09-06,2025,9,6,False
20250907,2025-09-07,2025,9,7,False
20250908,2025-09-08,2025,9,8,False
20250909,2025-09-09,2025,9,9,False
20250910,2025-09-10,2025,9,10,False
20250911,2025-09-11,2025,9,11,False
20250912,2025-09-12,2025,9,12,False
20250913,2025-09-13,2025,9,13,False
20250914,2025-09-14,2025,9,14,False
20250915,2025-09-15,2025,9,15,False
20250916,2025-09-16,2025,9,16,False
20250917,2025-09-17,2025,9,17,False
20250918,2025-09-18,2025,9,18,False
20250919,2025-09-19,2025,9,19,False
20250920,2025-09-20,2025,9,20,False
20250921,2025-09-21,2025,9,21,False
20250922,2025-09-22,2025,9,22,False
20250923,2025-09-23,2025,9,23,False
20250924,2025-09-24,2025,9,24,False
20250925,2025-09-25,2025,9,25,False
20250926,2025-09-26,2025,9,26,False
20250927,2025-09-27,2025,9,27,False
20250928,2025-09-28,2025,9,28,False
20250929,2025-09-29,2025,9,29,False
20250930,2025-09-30,2025,9,30,False
20251001,2025-10-01,2025,10,1,True
20251002,2025-10-02,2025,10,2,False
20251003,2025-10-03,2025,10,3,False
20251004,2025-10-04,2025,10,4,False
20251005,2025-10-05,2025,10,5,False
20251006,2025-10-06,2025,10,6,False
20251007,2025-10-07,2025,10,7,False
20251008,2025-10-08,2025,10,8,False
20251009,2025-10-09,2025,10,9,False
20251010,2025-10-10,2025,10,10,False
20251011,2025-10-11,2025,10,11,False
20251012,2025-10-12,2025,10,12,False
20251013,2025-10-13,2025,10,13,False
20251014,2025-10-14,2025,10,14,False
20251015,2025-10-15,2025,10,15,False
20251016,2025-10-16,2025,10,16,False
20251017,2025-10-17,2025,10,17,False
20251018,2025-10-18,2025,10,18,False
20251019,2025-10-19,2025,10,19,False
20251020,2025-10-20,2025,10,20,False
20251021,2025-10-21,2025,10,21,False
20251022,2025-10-22,2025,10,22,False
20251023,2025-10-23,2025,10,23,False
20251024,2025-10-24,2025,10,24,False
20251025,2025-10-25,2025,10,25,False
20251026,2025-10-26,2025,10,26,False
20251027,2025-10-27,2025,10,27,False
20251028,2025-10-28,2025,10,28,False
20251029,2025-10-29,2025,10,29,False
20251030,2025-10-30,2025,10,30,False
20251031,2025-10-31,2025,10,31,False
20251101,2025-11-01,2025,11,1,True
20251102,2025-11-02,2025,11,2,False
20251103,2025-11-03,2025,11,3,False
20251104,2025-11-04,2025,11,4,False
20251105,2025-11-05,2025,11,5,False
20251106,2025-11-06,2025,11,6,False
20251107,2025-11-07,2025,11,7,False
20251108,2025-11-08,2025,11,8,False
20251109,2025-11-09,2025,11,9,False
20251110,2025-11-10,2025,11,10,False
20251111,2025-11-11,2025,11,11,False
20251112,2025-11-12,2025,11,12,False
20251113,2025-11-13,2025,11,13,False
20251114,2025-11-14,2025,11,14,False
20251115,2025-11-15,2025,11,15,False
20251116,2025-11-16,2025,11,16,False
20251117,2025-11-17,2025,11,17,False
20251118,2025-11-18,2025,11,18,False
20251119,2025-11-19,2025,11,19,False
20251120,2025-11-20,2025,11,20,False
20251121,2025-11-21,2025,11,21,False
20251122,2025-11-22,2025,11,22,False
20251123,2025-11-23,2025,11,23,False
20251124,2025-11-24,2025,11,24,False
20251125,2025-11-25,2025,11,25,False
20251126,2025-11-26,2025,11,26,False
20251127,2025-11-27,2025,11,27,False
20251128,2025-11-28,2025,11,28,False
20251129,2025-11-29,2025,11,29,False
20251130,2025-11-30,2025,11,30,False
20251201,2025-12-01,2025,12,1,True
20251202,2025-12-02,2025,12,2,False
20251203,2025-12-03,2025,12,3,False
20251204,2025-12-04,2025,12,4,False
20251205,2025-12-05,2025,12,5,False
20251206,2025-12-06,2025,12,6,False
20251207,2025-12-07,2025,12,7,False
20251208,2025-12-08,2025,12,8,False
20251209,2025-12-09,2025,12,9,False
20251210,2025-12-10,2025,12,10,False
20251211,2025-12-11,2025,12,11,False
20251212,2025-12-12,2025,12,12,False
20251213,2025-12-13,2025,12,13,False
20251214,2025-12-14,2025,12,14,False
20251215,2025-12-15,2025,12,15,False
20251216,2025-12-16,2025,12,16,False
20251217,2025-12-17,2025,12,17,False
20251218,2025-12-18,2025,12,18,False
20251219,2025-12-19,2025,12,19,False
20251220,2025-12-20,2025,12,20,False
20251221,2025-12-21,2025,12,21,False
20251222,2025-12-22,2025,12,22,False
20251223,2025-12-23,2025,12,23,False
20251224,2025-12-24,2025,12,24,False
20251225,2025-12-25,2025,12,25,False
20251226,2025-12-26,2025,12,26,False
20251227,2025-12-27,2025,12,27,False
20251228,2025-12-28,2025,12,28,False
20251229,2025-12-29,2025,12,29,False
20251230,2025-12-30,2025,12,30,False
20251231,2025-12-31,2025,12,31,False
