date_key,branch_id,product_id,contract_id,contract_count,contract_value,approved_flag
20250902,BR001,SKU015256BL,CON-20250902-BR001-SKU015256BL,2,58000,True
20250902,BR001,SKU015256PI,CON-20250902-BR001-SKU015256PI,1,29000,True
20250902,BR001,SKU017256SI,CON-20250902-BR001-SKU017256SI,4,148000,True
20250902,BR002,SKU016256PI,CON-20250902-BR002-SKU016256PI,1,33000,True
20250902,BR002,SKU017128SI,CON-20250902-BR002-SKU017128SI,7,231000,True
20250902,BR004,SKU015256SI,CON-20250902-BR004-SKU015256SI,1,29000,True
20250902,BR004,SKU016128SI,CON-20250902-BR004-SKU016128SI,4,116000,True
20250902,BR005,SKU016256BL,CON-20250902-BR005-SKU016256BL,3,99000,True
20250902,BR005,SKU016256PI,CON-20250902-BR005-SKU016256PI,5,165000,True
20250902,BR005,SKU016256SI,CON-20250902-BR005-SKU016256SI,1,33000,True
20250903,BR001,SKU016128SI,CON-20250903-BR001-SKU016128SI,2,58000,True
20250903,BR001,SKU017256PI,CON-20250903-BR001-SKU017256PI,7,259000,True
20250903,BR001,SKU017256SI,CON-20250903-BR001-SKU017256SI,4,148000,True
20250903,BR002,SKU015128PI,CON-20250903-BR002-SKU015128PI,2,50000,True
20250903,BR002,SKU016256SI,CON-20250903-BR002-SKU016256SI,5,165000,True
20250903,BR002,SKU017128PI,CON-20250903-BR002-SKU017128PI,7,231000,True
20250903,BR002,SKU017128SI,CON-20250903-BR002-SKU017128SI,4,132000,True
20250903,BR002,SKU017256SI,CON-20250903-BR002-SKU017256SI,6,222000,True
20250903,BR003,SKU015128BL,CON-20250903-BR003-SKU015128BL,2,50000,True
20250903,BR003,SKU015128PI,CON-20250903-BR003-SKU015128PI,2,50000,True
20250903,BR003,SKU015256BL,CON-20250903-BR003-SKU015256BL,2,58000,True
20250903,BR003,SKU016256PI,CON-20250903-BR003-SKU016256PI,4,132000,True
20250903,BR003,SKU017128BL,CON-20250903-BR003-SKU017128BL,3,99000,True
20250903,BR003,SKU017128PI,CON-20250903-BR003-SKU017128PI,7,231000,True
20250903,BR003,SKU017256PI,CON-20250903-BR003-SKU017256PI,3,111000,True
20250903,BR004,SKU015256BL,CON-20250903-BR004-SKU015256BL,1,29000,True
20250903,BR004,SKU015256PI,CON-20250903-BR004-SKU015256PI,3,87000,True
20250903,BR004,SKU016256SI,CON-20250903-BR004-SKU016256SI,3,99000,True
20250903,BR005,SKU015128SI,CON-20250903-BR005-SKU015128SI,1,25000,True
20250903,BR005,SKU015256SI,CON-20250903-BR005-SKU015256SI,2,58000,True
20250903,BR005,SKU017256SI,CON-20250903-BR005-SKU017256SI,8,296000,True
