inventory_id,date_key,branch_id,product_id,stock_qty,reserved_qty,available_qty
STK-20250901-BR000-SKU015128BL,20250901,BR000,SKU015128BL,644,0,644
STK-20250901-BR000-SKU015128SI,20250901,BR000,SKU015128SI,795,0,795
STK-20250901-BR000-SKU015128PI,20250901,BR000,SKU015128PI,930,0,930
STK-20250901-BR000-SKU015256BL,20250901,BR000,SKU015256BL,712,0,712
STK-20250901-BR000-SKU015256SI,20250901,BR000,SKU015256SI,744,0,744
STK-20250901-BR000-SKU015256PI,20250901,BR000,SKU015256PI,985,0,985
STK-20250901-BR000-SKU016128BL,20250901,BR000,SKU016128BL,632,0,632
STK-20250901-BR000-SKU016128SI,20250901,BR000,SKU016128SI,857,0,857
STK-20250901-BR000-SKU016128PI,20250901,BR000,SKU016128PI,686,0,686
STK-20250901-BR000-SKU016256BL,20250901,BR000,SKU016256BL,548,0,548
STK-20250901-BR000-SKU016256SI,20250901,BR000,SKU016256SI,855,0,855
STK-20250901-BR000-SKU016256PI,20250901,BR000,SKU016256PI,881,0,881
STK-20250901-BR000-SKU017128BL,20250901,BR000,SKU017128BL,658,0,658
STK-20250901-BR000-SKU017128SI,20250901,BR000,SKU017128SI,661,0,661
STK-20250901-BR000-SKU017128PI,20250901,BR000,SKU017128PI,617,0,617
STK-20250901-BR000-SKU017256BL,20250901,BR000,SKU017256BL,731,0,731
STK-20250901-BR000-SKU017256SI,20250901,BR000,SKU017256SI,682,0,682
STK-20250901-BR000-SKU017256PI,20250901,BR000,SKU017256PI,891,0,891
STK-20250901-BR001-SKU015128BL,20250901,BR001,SKU015128BL,41,1,40
STK-20250901-BR001-SKU015128SI,20250901,BR001,SKU015128SI,52,2,50
STK-20250901-BR001-SKU015128PI,20250901,BR001,SKU015128PI,58,1,57
STK-20250901-BR001-SKU015256BL,20250901,BR001,SKU015256BL,76,3,73
STK-20250901-BR001-SKU015256SI,20250901,BR001,SKU015256SI,49,3,46
STK-20250901-BR001-SKU015256PI,20250901,BR001,SKU015256PI,49,2,47
STK-20250901-BR001-SKU016128BL,20250901,BR001,SKU016128BL,73,1,72
STK-20250901-BR001-SKU016128SI,20250901,BR001,SKU016128SI,63,3,60
STK-20250901-BR001-SKU016128PI,20250901,BR001,SKU016128PI,64,9,55
STK-20250901-BR001-SKU016256BL,20250901,BR001,SKU016256BL,39,5,34
STK-20250901-BR001-SKU016256SI,20250901,BR001,SKU016256SI,50,6,44
STK-20250901-BR001-SKU016256PI,20250901,BR001,SKU016256PI,38,5,33
STK-20250901-BR001-SKU017128BL,20250901,BR001,SKU017128BL,76,14,62
STK-20250901-BR001-SKU017128SI,20250901,BR001,SKU017128SI,56,7,49
STK-20250901-BR001-SKU017128PI,20250901,BR001,SKU017128PI,71,8,63
STK-20250901-BR001-SKU017256BL,20250901,BR001,SKU017256BL,68,10,58
STK-20250901-BR001-SKU017256SI,20250901,BR001,SKU017256SI,66,6,60
STK-20250901-BR001-SKU017256PI,20250901,BR001,SKU017256PI,33,8,25
STK-20250901-BR002-SKU015128BL,20250901,BR002,SKU015128BL,75,2,73
STK-20250901-BR002-SKU015128SI,20250901,BR002,SKU015128SI,37,1,36
STK-20250901-BR002-SKU015128PI,20250901,BR002,SKU015128PI,63,5,58
STK-20250901-BR002-SKU015256BL,20250901,BR002,SKU015256BL,53,1,52
STK-20250901-BR002-SKU015256SI,20250901,BR002,SKU015256SI,36,6,30
STK-20250901-BR002-SKU015256PI,20250901,BR002,SKU015256PI,78,2,76
STK-20250901-BR002-SKU016128BL,20250901,BR002,SKU016128BL,36,5,31
STK-20250901-BR002-SKU016128SI,20250901,BR002,SKU016128SI,37,7,30
STK-20250901-BR002-SKU016128PI,20250901,BR002,SKU016128PI,50,7,43
STK-20250901-BR002-SKU016256BL,20250901,BR002,SKU016256BL,77,2,75
STK-20250901-BR002-SKU016256SI,20250901,BR002,SKU016256SI,57,2,55
STK-20250901-BR002-SKU016256PI,20250901,BR002,SKU016256PI,60,3,57
STK-20250901-BR002-SKU017128BL,20250901,BR002,SKU017128BL,45,6,39
STK-20250901-BR002-SKU017128SI,20250901,BR002,SKU017128SI,80,11,69
STK-20250901-BR002-SKU017128PI,20250901,BR002,SKU017128PI,44,12,32
STK-20250901-BR002-SKU017256BL,20250901,BR002,SKU017256BL,64,7,57
STK-20250901-BR002-SKU017256SI,20250901,BR002,SKU017256SI,52,9,43
STK-20250901-BR002-SKU017256PI,20250901,BR002,SKU017256PI,34,7,27
STK-20250901-BR003-SKU015128BL,20250901,BR003,SKU015128BL,50,4,46
STK-20250901-BR003-SKU015128SI,20250901,BR003,SKU015128SI,59,1,58
STK-20250901-BR003-SKU015128PI,20250901,BR003,SKU015128PI,57,5,52
STK-20250901-BR003-SKU015256BL,20250901,BR003,SKU015256BL,48,5,43
STK-20250901-BR003-SKU015256SI,20250901,BR003,SKU015256SI,77,2,75
STK-20250901-BR003-SKU015256PI,20250901,BR003,SKU015256PI,56,1,55
STK-20250901-BR003-SKU016128BL,20250901,BR003,SKU016128BL,61,3,58
STK-20250901-BR003-SKU016128SI,20250901,BR003,SKU016128SI,32,6,26
STK-20250901-BR003-SKU016128PI,20250901,BR003,SKU016128PI,71,2,69
STK-20250901-BR003-SKU016256BL,20250901,BR003,SKU016256BL,53,7,46
STK-20250901-BR003-SKU016256SI,20250901,BR003,SKU016256SI,33,5,28
STK-20250901-BR003-SKU016256PI,20250901,BR003,SKU016256PI,72,7,65
STK-20250901-BR003-SKU017128BL,20250901,BR003,SKU017128BL,56,7,49
STK-20250901-BR003-SKU017128SI,20250901,BR003,SKU017128SI,78,6,72
STK-20250901-BR003-SKU017128PI,20250901,BR003,SKU017128PI,64,11,53
STK-20250901-BR003-SKU017256BL,20250901,BR003,SKU017256BL,30,13,17
STK-20250901-BR003-SKU017256SI,20250901,BR003,SKU017256SI,68,11,57
STK-20250901-BR003-SKU017256PI,20250901,BR003,SKU017256PI,64,7,57
STK-20250901-BR004-SKU015128BL,20250901,BR004,SKU015128BL,42,2,40
STK-20250901-BR004-SKU015128SI,20250901,BR004,SKU015128SI,62,1,61
STK-20250901-BR004-SKU015128PI,20250901,BR004,SKU015128PI,77,1,76
STK-20250901-BR004-SKU015256BL,20250901,BR004,SKU015256BL,43,6,37
STK-20250901-BR004-SKU015256SI,20250901,BR004,SKU015256SI,34,2,32
STK-20250901-BR004-SKU015256PI,20250901,BR004,SKU015256PI,67,6,61
STK-20250901-BR004-SKU016128BL,20250901,BR004,SKU016128BL,44,8,36
STK-20250901-BR004-SKU016128SI,20250901,BR004,SKU016128SI,46,7,39
STK-20250901-BR004-SKU016128PI,20250901,BR004,SKU016128PI,57,1,56
STK-20250901-BR004-SKU016256BL,20250901,BR004,SKU016256BL,50,10,40
STK-20250901-BR004-SKU016256SI,20250901,BR004,SKU016256SI,74,5,69
STK-20250901-BR004-SKU016256PI,20250901,BR004,SKU016256PI,33,3,30
STK-20250901-BR004-SKU017128BL,20250901,BR004,SKU017128BL,41,10,31
STK-20250901-BR004-SKU017128SI,20250901,BR004,SKU017128SI,78,10,68
STK-20250901-BR004-SKU017128PI,20250901,BR004,SKU017128PI,61,11,50
STK-20250901-BR004-SKU017256BL,20250901,BR004,SKU017256BL,50,9,41
STK-20250901-BR004-SKU017256SI,20250901,BR004,SKU017256SI,62,6,56
STK-20250901-BR004-SKU017256PI,20250901,BR004,SKU017256PI,57,7,50
STK-20250901-BR005-SKU015128BL,20250901,BR005,SKU015128BL,33,2,31
STK-20250901-BR005-SKU015128SI,20250901,BR005,SKU015128SI,45,3,42
STK-20250901-BR005-SKU015128PI,20250901,BR005,SKU015128PI,70,4,66
STK-20250901-BR005-SKU015256BL,20250901,BR005,SKU015256BL,49,1,48
STK-20250901-BR005-SKU015256SI,20250901,BR005,SKU015256SI,77,3,74
STK-20250901-BR005-SKU015256PI,20250901,BR005,SKU015256PI,77,1,76
