registration_id,date_key,branch_id,product_id,reg_count
REG-20250901-BR001-SKU015128BL,20250901,BR001,SKU015128BL,1
REG-20250901-BR001-SKU015128SI,20250901,BR001,SKU015128SI,2
REG-20250901-BR001-SKU015128PI,20250901,BR001,SKU015128PI,1
REG-20250901-BR001-SKU015256BL,20250901,BR001,SKU015256BL,3
REG-20250901-BR001-SKU015256SI,20250901,BR001,SKU015256SI,3
REG-20250901-BR001-SKU015256PI,20250901,BR001,SKU015256PI,2
REG-20250901-BR001-SKU016128BL,20250901,BR001,SKU016128BL,1
REG-20250901-BR001-SKU016128SI,20250901,BR001,SKU016128SI,3
REG-20250901-BR001-SKU016128PI,20250901,BR001,SKU016128PI,9
REG-20250901-BR001-SKU016256BL,20250901,BR001,SKU016256BL,5
REG-20250901-BR001-SKU016256SI,20250901,BR001,SKU016256SI,6
REG-20250901-BR001-SKU016256PI,20250901,BR001,SKU016256PI,5
REG-20250901-BR001-SKU017128BL,20250901,BR001,SKU017128BL,14
REG-20250901-BR001-SKU017128SI,20250901,BR001,SKU017128SI,7
REG-20250901-BR001-SKU017128PI,20250901,BR001,SKU017128PI,8
REG-20250901-BR001-SKU017256BL,20250901,BR001,SKU017256BL,10
REG-20250901-BR001-SKU017256SI,20250901,BR001,SKU017256SI,6
REG-20250901-BR001-SKU017256PI,20250901,BR001,SKU017256PI,8
REG-20250901-BR002-SKU015128BL,20250901,BR002,SKU015128BL,2
REG-20250901-BR002-SKU015128SI,20250901,BR002,SKU015128SI,1
REG-20250901-BR002-SKU015128PI,20250901,BR002,SKU015128PI,5
REG-20250901-BR002-SKU015256BL,20250901,BR002,SKU015256BL,1
REG-20250901-BR002-SKU015256SI,20250901,BR002,SKU015256SI,6
REG-20250901-BR002-SKU015256PI,20250901,BR002,SKU015256PI,2
REG-20250901-BR002-SKU016128BL,20250901,BR002,SKU016128BL,5
REG-20250901-BR002-SKU016128SI,20250901,BR002,SKU016128SI,7
REG-20250901-BR002-SKU016128PI,20250901,BR002,SKU016128PI,7
REG-20250901-BR002-SKU016256BL,20250901,BR002,SKU016256BL,2
REG-20250901-BR002-SKU016256SI,20250901,BR002,SKU016256SI,2
REG-20250901-BR002-SKU016256PI,20250901,BR002,SKU016256PI,3
REG-20250901-BR002-SKU017128BL,20250901,BR002,SKU017128BL,6
REG-20250901-BR002-SKU017128SI,20250901,BR002,SKU017128SI,11
REG-20250901-BR002-SKU017128PI,20250901,BR002,SKU017128PI,12
REG-20250901-BR002-SKU017256BL,20250901,BR002,SKU017256BL,7
REG-20250901-BR002-SKU017256SI,20250901,BR002,SKU017256SI,9
REG-20250901-BR002-SKU017256PI,20250901,BR002,SKU017256PI,7
REG-20250901-BR003-SKU015128BL,20250901,BR003,SKU015128BL,4
REG-20250901-BR003-SKU015128SI,20250901,BR003,SKU015128SI,1
REG-20250901-BR003-SKU015128PI,20250901,BR003,SKU015128PI,5
REG-20250901-BR003-SKU015256BL,20250901,BR003,SKU015256BL,5
REG-20250901-BR003-SKU015256SI,20250901,BR003,SKU015256SI,2
REG-20250901-BR003-SKU015256PI,20250901,BR003,SKU015256PI,1
REG-20250901-BR003-SKU016128BL,20250901,BR003,SKU016128BL,3
REG-20250901-BR003-SKU016128SI,20250901,BR003,SKU016128SI,6
REG-20250901-BR003-SKU016128PI,20250901,BR003,SKU016128PI,2
REG-20250901-BR003-SKU016256BL,20250901,BR003,SKU016256BL,7
REG-20250901-BR003-SKU016256SI,20250901,BR003,SKU016256SI,5
REG-20250901-BR003-SKU016256PI,20250901,BR003,SKU016256PI,7
REG-20250901-BR003-SKU017128BL,20250901,BR003,SKU017128BL,7
REG-20250901-BR003-SKU017128SI,20250901,BR003,SKU017128SI,6
REG-20250901-BR003-SKU017128PI,20250901,BR003,SKU017128PI,11
REG-20250901-BR003-SKU017256BL,20250901,BR003,SKU017256BL,13
REG-20250901-BR003-SKU017256SI,20250901,BR003,SKU017256SI,11
REG-20250901-BR003-SKU017256PI,20250901,BR003,SKU017256PI,7
REG-20250901-BR004-SKU015128BL,20250901,BR004,SKU015128BL,2
REG-20250901-BR004-SKU015128SI,20250901,BR004,SKU015128SI,1
REG-20250901-BR004-SKU015128PI,20250901,BR004,SKU015128PI,1
REG-20250901-BR004-SKU015256BL,20250901,BR004,SKU015256BL,6
REG-20250901-BR004-SKU015256SI,20250901,BR004,SKU015256SI,2
REG-20250901-BR004-SKU015256PI,20250901,BR004,SKU015256PI,6
REG-20250901-BR004-SKU016128BL,20250901,BR004,SKU016128BL,8
REG-20250901-BR004-SKU016128SI,20250901,BR004,SKU016128SI,7
REG-20250901-BR004-SKU016128PI,20250901,BR004,SKU016128PI,1
REG-20250901-BR004-SKU016256BL,20250901,BR004,SKU016256BL,10
REG-20250901-BR004-SKU016256SI,20250901,BR004,SKU016256SI,5
REG-20250901-BR004-SKU016256PI,20250901,BR004,SKU016256PI,3
REG-20250901-BR004-SKU017128BL,20250901,BR004,SKU017128BL,10
REG-20250901-BR004-SKU017128SI,20250901,BR004,SKU017128SI,10
REG-20250901-BR004-SKU017128PI,20250901,BR004,SKU017128PI,11
REG-20250901-BR004-SKU017256BL,20250901,BR004,SKU017256BL,9
REG-20250901-BR004-SKU017256SI,20250901,BR004,SKU017256SI,6
REG-20250901-BR004-SKU017256PI,20250901,BR004,SKU017256PI,7
REG-20250901-BR005-SKU015128BL,20250901,BR005,SKU015128BL,2
REG-20250901-BR005-SKU015128SI,20250901,BR005,SKU015128SI,3
REG-20250901-BR005-SKU015128PI,20250901,BR005,SKU015128PI,4
REG-20250901-BR005-SKU015256BL,20250901,BR005,SKU015256BL,1
REG-20250901-BR005-SKU015256SI,20250901,BR005,SKU015256SI,3
REG-20250901-BR005-SKU015256PI,20250901,BR005,SKU015256PI,1
REG-20250901-BR005-SKU016128BL,20250901,BR005,SKU016128BL,6
REG-20250901-BR005-SKU016128SI,20250901,BR005,SKU016128SI,1
REG-20250901-BR005-SKU016128PI,20250901,BR005,SKU016128PI,9
REG-20250901-BR005-SKU016256BL,20250901,BR005,SKU016256BL,5
REG-20250901-BR005-SKU016256SI,20250901,BR005,SKU016256SI,3
REG-20250901-BR005-SKU016256PI,20250901,BR005,SKU016256PI,9
REG-20250901-BR005-SKU017128BL,20250901,BR005,SKU017128BL,7
REG-20250901-BR005-SKU017128SI,20250901,BR005,SKU017128SI,10
REG-20250901-BR005-SKU017128PI,20250901,BR005,SKU017128PI,8
